GEOID,Pop_Urban,Pop_Rural,%Urban_pop
54071,0,6143,0.0
54073,0,7653,0.0
54075,0,7869,0.0
54077,0,34216,0.0
54079,37945,19495,66.06
54081,42468,32123,56.93
54083,11109,16823,39.77
54085,0,8444,0.0
54087,0,14028,0.0
54089,0,11959,0.0
54091,5260,11445,31.49
54093,0,6762,0.0
54095,0,8313,0.0
54097,8547,15269,35.89
54099,15663,23319,40.18
54101,0,8378,0.0
54103,5429,9013,37.59
54105,0,5194,0.0
54107,59321,24975,70.37
54109,0,21382,0.0
55001,0,20654,0.0
55003,7225,8802,45.08
55005,10156,36555,21.74
55007,0,16220,0.0
55009,224156,44584,83.41
55011,0,13317,0.0
55013,0,16526,0.0
55015,24842,27600,47.37
